entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2025-11-01 01:00:00+00:00,2025-11-01 13:00:00+00:00,LONG,109772.81,109961.22,0.172,186.4100000000035,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,48
2025-11-01 15:45:00+00:00,2025-11-01 22:00:00+00:00,LONG,110310.65,109961.01,-0.317,-351.6399999999994,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,25
2025-11-02 04:30:00+00:00,2025-11-02 13:45:00+00:00,LONG,110435.01,110568.65,0.121,131.63999999999942,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,37
2025-11-02 23:45:00+00:00,2025-11-03 01:00:00+00:00,LONG,110540.68,109714.24,-0.748,-828.4399999999878,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2025-11-03 13:45:00+00:00,2025-11-03 14:15:00+00:00,LONG,107908.68,107546.21,-0.336,-364.4699999999866,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-11-03 14:45:00+00:00,2025-11-03 15:15:00+00:00,LONG,108059.99,105992.64,-1.913,-2069.350000000006,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-11-04 02:00:00+00:00,2025-11-04 05:15:00+00:00,LONG,106922.18,105668.09,-1.173,-1256.0899999999965,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2025-11-05 03:00:00+00:00,2025-11-05 11:00:00+00:00,LONG,101729.85,101562.86,-0.164,-168.99000000000524,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,32
2025-11-05 11:45:00+00:00,2025-11-06 01:00:00+00:00,LONG,102070.61,103211.91,1.118,1139.300000000003,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,53
2025-11-06 04:00:00+00:00,2025-11-06 05:45:00+00:00,LONG,103810.2,103143.57,-0.642,-668.6299999999901,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2025-11-07 02:30:00+00:00,2025-11-07 08:45:00+00:00,LONG,101553.98,101496.18,-0.057,-59.80000000000291,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,25
2025-11-07 16:15:00+00:00,2025-11-08 03:30:00+00:00,LONG,101532.87,102726.73,1.176,1191.8600000000006,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,45
2025-11-08 19:00:00+00:00,2025-11-08 19:15:00+00:00,LONG,102126.16,101801.24,-0.318,-326.91999999999825,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,1
2025-11-08 20:15:00+00:00,2025-11-09 00:45:00+00:00,LONG,102108.9,101797.74,-0.305,-313.15999999998894,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,18
2025-11-09 08:30:00+00:00,2025-11-09 09:45:00+00:00,LONG,101924.3,101657.46,-0.262,-268.8399999999965,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
