entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2018-01-01 21:00:00+00:00,2018-01-02 04:30:00+00:00,LONG,13518.46,13071.0,-3.31,-449.4599999999991,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,30
2018-01-02 09:45:00+00:00,2018-01-03 10:45:00+00:00,LONG,13452.0,14455.55,7.46,1001.5499999999993,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,100
2018-01-03 14:15:00+00:00,2018-01-04 01:00:00+00:00,LONG,14957.02,14700.99,-1.712,-258.03000000000065,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,43
2018-01-04 01:45:00+00:00,2018-01-04 07:45:00+00:00,LONG,15172.12,14748.0,-2.795,-426.1200000000008,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,24
2018-01-04 18:45:00+00:00,2018-01-06 08:45:00+00:00,LONG,14811.0,16440.0,10.999,1627.0,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,152
2018-01-06 11:00:00+00:00,2018-01-06 12:00:00+00:00,LONG,16716.0,16449.93,-1.592,-268.0699999999997,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,4
2018-01-06 16:30:00+00:00,2018-01-07 04:30:00+00:00,LONG,16780.0,16498.0,-1.681,-284.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,48
2018-01-09 01:30:00+00:00,2018-01-09 07:00:00+00:00,LONG,15238.13,14932.49,-2.006,-307.6399999999994,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,22
2018-01-09 08:00:00+00:00,2018-01-09 10:00:00+00:00,LONG,15115.99,14748.94,-2.428,-369.0499999999993,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,8
2018-01-09 18:30:00+00:00,2018-01-09 19:30:00+00:00,LONG,14905.0,14670.0,-1.577,-237.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,4
